bitRes, root, min, max, median, mean, stddev
2, 0.300000, -100000000.00, -20.28, -13.02, -2000095.96, 14070515.64
2, 0.350000, -335.61, -20.40, -11.21, -90.23, 131.01
2, 0.400000, -356.07, -20.22, -11.55, -101.89, 138.90
2, 0.450000, -347.90, -20.18, -12.81, -71.37, 117.51
2, 0.550000, -336.67, -20.37, -13.09, -129.45, 148.80
3, 0.300000, -329.29, -25.66, -18.20, -49.87, 81.67
3, 0.350000, -326.85, -25.67, -16.63, -46.82, 76.74
3, 0.400000, -327.52, -25.66, -17.15, -46.49, 76.67
3, 0.450000, -328.38, -25.60, -15.46, -49.49, 81.75
3, 0.550000, -327.09, -25.72, -18.13, -49.68, 81.72
4, 0.300000, -51.97, -32.64, -23.94, -33.09, 5.03
4, 0.350000, -320.09, -31.21, -24.47, -35.42, 29.33
4, 0.400000, -320.02, -33.19, -21.78, -35.95, 29.23
4, 0.450000, -53.34, -32.94, -23.85, -33.73, 5.45
4, 0.550000, -330.17, -31.36, -23.38, -38.29, 42.02
5, 0.300000, -58.88, -38.45, -26.98, -39.20, 5.49
5, 0.350000, -55.47, -37.62, -28.21, -38.89, 5.35
5, 0.400000, -56.58, -37.75, -30.09, -39.01, 5.84
5, 0.450000, -58.74, -38.84, -28.83, -39.35, 5.61
5, 0.550000, -58.15, -37.85, -29.70, -38.92, 5.17
6, 0.300000, -62.01, -42.91, -35.32, -44.16, 5.74
6, 0.350000, -71.15, -43.50, -35.08, -44.52, 5.68
6, 0.400000, -64.07, -43.15, -34.85, -43.77, 4.92
6, 0.450000, -65.15, -43.92, -35.12, -44.82, 5.56
6, 0.550000, -66.32, -42.84, -36.13, -43.91, 5.60
7, 0.300000, -64.84, -49.44, -41.56, -50.41, 4.93
7, 0.350000, -65.05, -49.42, -41.33, -49.81, 4.85
7, 0.400000, -68.12, -48.83, -40.04, -49.95, 4.94
7, 0.450000, -68.02, -49.05, -41.41, -49.91, 4.93
7, 0.550000, -75.28, -49.35, -40.48, -50.43, 6.21
8, 0.300000, -68.42, -53.42, -46.05, -54.20, 4.57
8, 0.350000, -68.80, -53.48, -45.63, -53.76, 5.12
8, 0.400000, -72.19, -52.62, -45.32, -54.24, 5.76
8, 0.450000, -73.99, -53.42, -44.59, -54.53, 5.31
8, 0.550000, -73.23, -53.33, -45.80, -54.52, 5.55
9, 0.300000, -73.61, -57.25, -49.77, -58.18, 5.15
9, 0.350000, -80.39, -55.65, -45.19, -57.02, 6.58
9, 0.400000, -71.38, -56.08, -48.09, -56.80, 5.11
9, 0.450000, -73.53, -56.39, -49.44, -57.45, 5.39
9, 0.550000, -76.45, -57.55, -49.61, -58.36, 5.21
10, 0.300000, -69.64, -58.12, -51.09, -58.75, 4.38
10, 0.350000, -78.97, -58.23, -50.21, -59.23, 5.12
10, 0.400000, -77.73, -57.62, -49.42, -58.39, 4.80
10, 0.450000, -82.13, -58.54, -48.74, -59.55, 5.56
10, 0.550000, -77.17, -57.77, -48.32, -58.54, 5.41
