bitRes, root, min, max, median, mean, stddev

6, 0.300000, -63.44, -43.11, -34.27, -43.82, 5.92
6, 0.350000, -61.44, -40.27, -29.80, -41.17, 5.68
6, 0.400000, -59.17, -42.14, -32.93, -42.63, 5.42
6, 0.450000, -68.96, -40.93, -34.42, -42.30, 6.20
6, 0.550000, -58.34, -41.23, -30.94, -42.49, 5.45

7, 0.300000, -31.86, -16.54, -8.57, -17.71, 5.64
7, 0.350000, -47.35, -18.88, -10.30, -19.53, 5.57
7, 0.400000, -36.73, -16.35, -6.21, -17.97, 5.51
7, 0.450000, -33.10, -18.77, -9.48, -19.45, 4.91
7, 0.550000, -45.29, -19.66, -8.95, -19.69, 6.85

8, 0.300000, -35.21, -15.29, -8.05, -16.15, 5.57
8, 0.350000, -38.50, -16.70, -6.64, -17.84, 6.89
8, 0.400000, -35.09, -18.44, -6.89, -19.20, 6.10
8, 0.450000, -41.73, -17.18, -8.31, -18.54, 6.25
8, 0.550000, -43.10, -17.74, -9.49, -18.87, 6.73

9, 0.300000, -28.67, -15.52, -7.61, -16.31, 5.13
9, 0.350000, -35.48, -15.91, -7.34, -17.25, 6.01
9, 0.400000, -58.81, -17.49, -8.57, -19.64, 7.81
9, 0.450000, -34.56, -15.41, -8.30, -16.34, 5.65
9, 0.550000, -35.56, -18.18, -7.54, -18.53, 5.38

10, 0.300000, -38.97, -15.58, -7.34, -17.17, 7.15
10, 0.350000, -43.49, -17.68, -8.96, -18.23, 6.58
10, 0.400000, -35.03, -20.51, -7.26, -20.40, 5.85
10, 0.450000, -38.47, -17.55, -7.02, -17.82, 5.78
10, 0.550000, -46.55, -16.66, -7.36, -17.68, 7.24

11, 0.300000, -37.04, -14.83, -8.07, -16.26, 5.51
11, 0.350000, -44.95, -16.85, -8.07, -17.96, 6.32
11, 0.400000, -51.98, -17.80, -9.31, -19.33, 6.90
11, 0.450000, -48.03, -16.92, -7.72, -17.51, 6.11
11, 0.550000, -49.25, -16.87, -7.41, -18.17, 6.58

12, 0.300000, -8.20, -6.64, -4.40, -6.66, 0.72
12, 0.350000, -26.20, -12.41, -6.71, -13.61, 4.26
12, 0.400000, -39.20, -17.09, -5.41, -18.03, 6.44
12, 0.450000, -24.13, -11.38, -7.27, -12.27, 3.54
12, 0.550000, -24.89, -13.63, -6.67, -14.30, 4.44

13, 0.300000, 2.76, 2.83, 3.05, 2.87, 0.12
13, 0.350000, -15.59, -15.59, -8.91, -14.53, 1.68
13, 0.400000, -25.07, -12.39, -7.56, -13.02, 3.55
13, 0.450000, -1.54, -1.49, -1.24, -1.45, 0.10
13, 0.550000, -7.50, -6.60, -4.45, -6.54, 0.54

14, 0.300000, 5.38, 5.38, 5.56, 5.42, 0.06
14, 0.350000, -3.36, -3.36, -2.53, -3.31, 0.17
14, 0.400000, -10.63, -9.25, -6.39, -8.66, 0.87
14, 0.450000, 2.49, 2.49, 2.49, 2.49, 0.00
14, 0.550000, -0.98, -0.98, -0.98, -0.98, 0.00

15, 0.300000, 6.60, 6.60, 6.70, 6.61, 0.03
15, 0.350000, 1.51, 1.51, 1.51, 1.51, 0.00
15, 0.400000, -2.31, -2.31, -2.31, -2.31, 0.00
15, 0.450000, 4.17, 4.17, 4.27, 4.18, 0.02
15, 0.550000, 1.27, 1.27, 1.46, 1.28, 0.04
